title,company,link,reward
[노스페이스] 기획MD,영원아웃도어,https://www.wanted.co.kr/wd/330011,합격보상금 100만원
[인턴] [레드롭] 글로벌 채용 사업 전략 RA,맥킨리라이스,https://www.wanted.co.kr/wd/330806,합격보상금 100만원
오프라인 영업 담당자,휴롬엘에스,https://www.wanted.co.kr/wd/324065,합격보상금 100만원
글로벌 B2C(아마존) 관리자,야다,https://www.wanted.co.kr/wd/307857,합격보상금 100만원
날씨돌 서비스 마케팅,헥토이노베이션,https://www.wanted.co.kr/wd/325266,합격보상금 100만원
디지털 마케팅 리드,바로팜,https://www.wanted.co.kr/wd/290299,합격보상금 100만원
[ANUA] 글로벌 어카운트 세일즈 Sr. 매니저,더파운더즈,https://www.wanted.co.kr/wd/326001,합격보상금 100만원
Flash Design Engineer,페블스퀘어,https://www.wanted.co.kr/wd/315075,합격보상금 100만원
[노스페이스] 기획MD,영원아웃도어,https://www.wanted.co.kr/wd/330011,합격보상금 100만원
[인턴] [레드롭] 글로벌 채용 사업 전략 RA,맥킨리라이스,https://www.wanted.co.kr/wd/330806,합격보상금 100만원
오프라인 영업 담당자,휴롬엘에스,https://www.wanted.co.kr/wd/324065,합격보상금 100만원
글로벌 B2C(아마존) 관리자,야다,https://www.wanted.co.kr/wd/307857,합격보상금 100만원
날씨돌 서비스 마케팅,헥토이노베이션,https://www.wanted.co.kr/wd/325266,합격보상금 100만원
디지털 마케팅 리드,바로팜,https://www.wanted.co.kr/wd/290299,합격보상금 100만원
[ANUA] 글로벌 어카운트 세일즈 Sr. 매니저,더파운더즈,https://www.wanted.co.kr/wd/326001,합격보상금 100만원
Flash Design Engineer,페블스퀘어,https://www.wanted.co.kr/wd/315075,합격보상금 100만원
[노스페이스] 데이터 사이언티스트 (4~11년),영원아웃도어,https://www.wanted.co.kr/wd/330037,합격보상금 100만원
[뷰티] 브랜드 공식몰 MD,브랜드홀더,https://www.wanted.co.kr/wd/214296,합격보상금 100만원
Global Business Manager,글루가(ohora/오호라),https://www.wanted.co.kr/wd/327865,합격보상금 100만원
사업PM,미디어웹,https://www.wanted.co.kr/wd/326873,합격보상금 100만원
Senior Data Analyst (Catalog),쿠팡,https://www.wanted.co.kr/wd/331199,합격보상금 100만원
퍼포먼스 마케터 (2년 이상),스피커블,https://www.wanted.co.kr/wd/330523,합격보상금 100만원
Sales Solution Analyst,지마켓,https://www.wanted.co.kr/wd/330612,
[에르고바디] 브랜드마케터,부스트랩,https://www.wanted.co.kr/wd/320283,합격보상금 100만원
[쿠팡] 카탈로그 데이터 품질 분석 및 개선 전문가,쿠팡,https://www.wanted.co.kr/wd/330831,합격보상금 100만원
프로덕트 매니저(PM/PO) (3년차 이상),와이피랩스(커넥팅),https://www.wanted.co.kr/wd/220541,합격보상금 100만원
파이썬 백엔드 개발자,아일리스,https://www.wanted.co.kr/wd/322603,합격보상금 100만원
Growth Lead (글로벌 팬덤 퍼마 & 그로스 마케팅),빅크(BIGC),https://www.wanted.co.kr/wd/281899,합격보상금 100만원
[Mnet Plus] Data Analyst,씨제이이엔엠(CJ ENM),https://www.wanted.co.kr/wd/321962,합격보상금 100만원
Sales Policy Planning Manager,지마켓,https://www.wanted.co.kr/wd/330617,
[신작팀] 게임 기획자,베이글코드(Bagelcode),https://www.wanted.co.kr/wd/295943,합격보상금 100만원
퍼포먼스 마케터,리터니티,https://www.wanted.co.kr/wd/289292,합격보상금 100만원
[비즈하우스] 커머스 MD (카테고리 전반),미리디,https://www.wanted.co.kr/wd/312204,합격보상금 100만원
프라이싱 담당자,딜리버리랩,https://www.wanted.co.kr/wd/328917,합격보상금 100만원
마케팅 커뮤니케이션 (주니어),더케라피,https://www.wanted.co.kr/wd/267435,합격보상금 100만원
미디어 전략 및 채널 관리,펑타이그레이터차이나(PTKOREA),https://www.wanted.co.kr/wd/318945,합격보상금 100만원
시니어 프로덕트 디자이너 (Sr. Product Designer),베이비챗,https://www.wanted.co.kr/wd/330900,합격보상금 100만원
[글로벌사업부문] 중국사업 전략기획,파마리서치,https://www.wanted.co.kr/wd/329555,합격보상금 100만원
모바일 앱 브랜드 디자이너,큐피스트(글램),https://www.wanted.co.kr/wd/306372,합격보상금 100만원
Product Lead,코인원(coinone),https://www.wanted.co.kr/wd/330813,합격보상금 20만원
Product manager(고향사랑기부제),자비스앤빌런즈(삼쩜삼),https://www.wanted.co.kr/wd/325626,합격보상금 100만원
퍼포먼스 마케터,인티그리타스,https://www.wanted.co.kr/wd/309173,합격보상금 100만원
MD,레브잇,https://www.wanted.co.kr/wd/308569,합격보상금 100만원
[라비킷] 브랜드마케터,부스트랩,https://www.wanted.co.kr/wd/299718,합격보상금 100만원
[라포랩스/퀸잇] 퍼포먼스 마케터,라포랩스,https://www.wanted.co.kr/wd/324526,합격보상금 100만원
퍼포먼스 마케터 (5년 이상),블루엘리펀트,https://www.wanted.co.kr/wd/316957,합격보상금 100만원
Product Manager,리디(RIDI),https://www.wanted.co.kr/wd/307521,합격보상금 100만원
3D/SDK 기획(PM),룰루랩(lululab),https://www.wanted.co.kr/wd/321052,합격보상금 100만원
서비스기획 / PM · PO,웰로,https://www.wanted.co.kr/wd/271837,합격보상금 100만원
CBO,퍼플페퍼,https://www.wanted.co.kr/wd/328284,합격보상금 100만원
Forward Deployed Engineer - LLM,마키나락스,https://www.wanted.co.kr/wd/225016,합격보상금 100만원
[서비스] 서비스기획 파트장 (5년이상),누리미디어(DBpia),https://www.wanted.co.kr/wd/318811,합격보상금 100만원
Global Performance Marketing AE (3년 이상),보더엑스,https://www.wanted.co.kr/wd/322613,합격보상금 100만원
"마케팅 전략, 기획 디지털마케터",유리프트,https://www.wanted.co.kr/wd/285520,합격보상금 100만원
Performance Marketing Lead,"브레이브모바일(숨고,Soomgo)",https://www.wanted.co.kr/wd/317741,합격보상금 100만원
Business Data Analyst,번개장터,https://www.wanted.co.kr/wd/329167,합격보상금 100만원
