title,company,link,reward
VISION AI 솔루션 Python 웹서비스 백엔드 개발(3년~5년),에이아이썸,https://www.wanted.co.kr/wd/331569,합격보상금 100만원
Agentic 응용앱 개발자,다키클라우드코리아,https://www.wanted.co.kr/wd/325529,합격보상금 100만원
악성코드 분석 개발,윈스테크넷,https://www.wanted.co.kr/wd/329650,합격보상금 100만원
Global Business Manager,글루가(ohora/오호라),https://www.wanted.co.kr/wd/327865,합격보상금 100만원
파이썬 C 임베디드 담당자,제이투케이,https://www.wanted.co.kr/wd/330207,합격보상금 100만원
"AI Agent Engineer (Python/TypeScript, 2~5년)",호두랩스,https://www.wanted.co.kr/wd/325256,합격보상금 100만원
FDSE Lead (솔루션 엔지니어 / 필드 소프트웨어 엔지니어),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/330205,합격보상금 100만원
파이썬 백엔드 개발자,아일리스,https://www.wanted.co.kr/wd/322603,합격보상금 100만원
VISION AI 솔루션 Python 웹서비스 백엔드 개발(3년~5년),에이아이썸,https://www.wanted.co.kr/wd/331569,합격보상금 100만원
Agentic 응용앱 개발자,다키클라우드코리아,https://www.wanted.co.kr/wd/325529,합격보상금 100만원
악성코드 분석 개발,윈스테크넷,https://www.wanted.co.kr/wd/329650,합격보상금 100만원
Global Business Manager,글루가(ohora/오호라),https://www.wanted.co.kr/wd/327865,합격보상금 100만원
파이썬 C 임베디드 담당자,제이투케이,https://www.wanted.co.kr/wd/330207,합격보상금 100만원
"AI Agent Engineer (Python/TypeScript, 2~5년)",호두랩스,https://www.wanted.co.kr/wd/325256,합격보상금 100만원
FDSE Lead (솔루션 엔지니어 / 필드 소프트웨어 엔지니어),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/330205,합격보상금 100만원
파이썬 백엔드 개발자,아일리스,https://www.wanted.co.kr/wd/322603,합격보상금 100만원
AI Engineer - 3년 이상,샵라이브,https://www.wanted.co.kr/wd/284491,합격보상금 100만원
AI보안솔루션 개발,윈스테크넷,https://www.wanted.co.kr/wd/329646,합격보상금 100만원
Senior AI Research Engineer,포도노스,https://www.wanted.co.kr/wd/267795,합격보상금 100만원
APT보안솔루션 개발,윈스테크넷,https://www.wanted.co.kr/wd/329656,합격보상금 100만원
[AI반도체] AI Solutions Engineer,모빌린트,https://www.wanted.co.kr/wd/322443,합격보상금 100만원
Backend Engineer (python),큐빅,https://www.wanted.co.kr/wd/325826,합격보상금 100만원
백엔드 개발자 (2~10년),뱅크엑스,https://www.wanted.co.kr/wd/327424,합격보상금 100만원
AI개발 엔지니어 개발자 (3년 이상),쎄듀,https://www.wanted.co.kr/wd/328530,합격보상금 100만원
Python Algorithm Engineer (파이썬 개발자),제너레잇,https://www.wanted.co.kr/wd/329334,합격보상금 100만원
보안 솔루션 백엔드 개발,아이씨티케이,https://www.wanted.co.kr/wd/311775,합격보상금 100만원
Forward Deployed Engineer - LLM,마키나락스,https://www.wanted.co.kr/wd/225016,합격보상금 100만원
ML 엔지니어,에이아이구루,https://www.wanted.co.kr/wd/294346,합격보상금 100만원
개발팀장 (개발팀 리드),코넥시오에이치,https://www.wanted.co.kr/wd/310098,합격보상금 100만원
반도체·스마트팩토리 물류 제어 S/W 프론트 개발자(React),주밍코리아,https://www.wanted.co.kr/wd/306476,합격보상금 100만원
파이썬 개발자 (3년 이상 7년 이하),우주프로퍼티매니지먼트,https://www.wanted.co.kr/wd/325993,합격보상금 100만원
Back-End engineer(Java),앰버로드,https://www.wanted.co.kr/wd/202695,합격보상금 100만원
헬스케어 도메인 생성형 AI 개발자,맨인블록,https://www.wanted.co.kr/wd/323918,합격보상금 100만원
[아이디어스] Senior Product Data Analyst (5년 이상),백패커,https://www.wanted.co.kr/wd/309089,합격보상금 100만원
빅데이터 솔루션 데이터 엔지니어 (3년 이상),로이드케이,https://www.wanted.co.kr/wd/314983,합격보상금 100만원
클라우드 개발자 (백엔드/DevOps),파이오링크,https://www.wanted.co.kr/wd/281795,합격보상금 100만원
SCM Data Analyst,글루가(ohora/오호라),https://www.wanted.co.kr/wd/322587,합격보상금 100만원
Data Engineer (전문연구요원 가능),뉴로퓨전,https://www.wanted.co.kr/wd/325377,합격보상금 100만원
Python Back-end Engineer (3년 이상),올거나이즈코리아(Allganize Korea),https://www.wanted.co.kr/wd/321072,합격보상금 100만원
AI Research Engineer (LLM Application),시나몬,https://www.wanted.co.kr/wd/303541,합격보상금 100만원
클라우드 풀스택 엔지니어,엘리스,https://www.wanted.co.kr/wd/330270,합격보상금 100만원
[전문연구요원(병역특례)] NLP/LLM 엔지니어,에이아이웍스,https://www.wanted.co.kr/wd/293417,합격보상금 100만원
AI Engineer (병특 전문연구요원가능),코코네엔지니어링,https://www.wanted.co.kr/wd/255120,합격보상금 100만원
Solution Engineer,에이아이트릭스(AITRICS),https://www.wanted.co.kr/wd/285776,합격보상금 100만원
Data Infra Engineer,몽구스에이아이,https://www.wanted.co.kr/wd/330571,합격보상금 100만원
웹 백엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),https://www.wanted.co.kr/wd/296313,합격보상금 100만원
AI Engineer,에이뉴트,https://www.wanted.co.kr/wd/326282,합격보상금 100만원
AI Engineer,몽구스에이아이,https://www.wanted.co.kr/wd/329921,합격보상금 100만원
[미리디] 시니어 데이터 분석가 (Senior Data Analyst),미리디,https://www.wanted.co.kr/wd/328205,합격보상금 100만원
시스템 엔지니어 - IT 솔루션 구축 및 장애 대응,팀벨,https://www.wanted.co.kr/wd/311936,합격보상금 100만원
AI 물류 AI/ML 연구원,아로아랩스,https://www.wanted.co.kr/wd/327687,합격보상금 100만원
멀티모달 모델 엔지니어,아티스트컴퍼니,https://www.wanted.co.kr/wd/324698,합격보상금 100만원
QA Engineer,에어스메디컬,https://www.wanted.co.kr/wd/310419,합격보상금 100만원
프로덕트 소프트웨어 엔지니어,모모그룹,https://www.wanted.co.kr/wd/331067,합격보상금 100만원
[정보시스템팀] Data Engineer,한국평가정보,https://www.wanted.co.kr/wd/327067,합격보상금 100만원
"[인공지능 STT, 자막화 연구원]",브레인벤쳐스,https://www.wanted.co.kr/wd/324200,합격보상금 100만원
